"","geo","year","value","curr"
"673","dk",2000,10.439,"DKK"
"674","ee",2000,0.564513,"EUR"
"675","gr",2000,0.806313,"EUR"
"676","es",2000,0.8907,"EUR"
"677","fi",2000,1.18475,"EUR"
"678","fr",2000,1.12003,"EUR"
"679","hr",2000,4.55901,"HRK"
"680","hu",2000,132.529,"HUF"
"681","ie",2000,1.13638,"EUR"
"682","is",2000,102.007,"ISK"
"683","it",2000,0.969541,"EUR"
"684","jp",2000,186.34,"JPY"
"685","lt",2000,0.543812,"EUR"
"686","lu",2000,1.15071,"EUR"
"687","lv",2000,0.434419,"EUR"
"688","mk",2000,24.0126,"MKD"
"689","mt",2000,0.698305,"EUR"
"690","nl",2000,1.0721,"EUR"
"691","no",2000,10.9389,"NOK"
"692","pl",2000,2.20687,"PLN"
"693","pt",2000,0.79589,"EUR"
"694","ro",2000,0.741797,"RON"
"695","se",2000,11.0325,"SEK"
"696","si",2000,0.633926,"EUR"
"697","sk",2000,0.621734,"EUR"
"698","tr",2000,0.339043,"TRY"
"699","gb",2000,0.848254,"GBP"
"700","us",2000,1.20438,"USD"
