"","currency","year","values"
"907","SEK",1998,8.9578
"908","TRY",1998,0.3019
"909","USD",1998,1.1016
"910","ZAR",1998,6.9658
"911","ALL",1997,170.01
"912","AUD",1997,1.4472
"913","BGN",1997,1.9745
"914","CAD",1997,1.4902
"915","CHF",1997,1.6231
"916","CZK",1997,36.696
"917","DKK",1997,7.5219
"918","GBP",1997,0.66923
"919","HRK",1997,7.01429
"920","HUF",1997,212.25
"921","JPY",1997,126.46
"922","MKD",1997,60.856
"923","NOK",1997,8.178
"924","NZD",1997,1.6701
"925","PLN",1997,3.7349
"926","RON",1997,0.7987
"927","RSD",1997,6.5155
"928","SEK",1997,8.5651
"929","TRY",1997,0.1756
"930","USD",1997,1.0727
"931","ZAR",1997,5.0256
"932","ALL",1996,139.71
"933","AUD",1996,1.6385
"934","BGN",1996,0.2435
"935","CAD",1996,1.7608
"936","CHF",1996,1.5432
"937","CZK",1996,34
"938","DKK",1996,7.3538
"939","GBP",1996,0.82793
"940","HRK",1996,6.66502
"941","HUF",1996,197.56
"942","JPY",1996,138.42
"943","MKD",1996,49.9986
"944","NOK",1996,8.229
"945","NZD",1996,1.8627
"946","PLN",1996,3.5021
"947","RON",1996,0.4037
"948","RSD",1996,6.278
"949","SEK",1996,8.4955
"950","TRY",1996,0.1091
"951","USD",1996,1.2832
"952","ZAR",1996,5.8022
